case_id	feature	gene_name
PANBSP	myc.POS.13	myc
PANUKV	myc.POS.20	myc
PANYGR	myc.POS.11	myc
PAPBGH	myc.POS.18	myc
PAPKWN	myc.POS.7	myc
PAIVHE	myc.ZERO	myc
PAITEG	myc.POS.2	myc
PAKYZS	myc.NEG.19	myc
PAITCI	myc.POS.14	myc
PAPEFE	myc.POS.4	myc
PAIXIF	myc.NEG.11	myc
PALCBW	myc.NEG.14	myc
PALTEG	myc.POS.7	myc
PAMYCE	myc.NEG.17	myc
PAMZGT	myc.POS.4	myc
PANGXK	myc.NEG.14	myc
PANJLH	myc.NEG.7	myc
PANKFE	myc.NEG.18	myc
PANZPV	myc.NEG.14	myc
PANZVU	myc.NEG.14	myc
PAPBZI	myc.POS.10	myc
PANBMJ	myc.POS.9	myc
PAPHPE	myc.NEG.18	myc
PAIPGU	myc.POS.8	myc
PALEVG	myc.POS.14	myc
PANRHJ	myc.POS.8	myc
PAPUAR	myc.NEG.14	myc
PAPUEB	myc.POS.6	myc
PAPUNH	myc.POS.17	myc
PAPZYP	myc.POS.15	myc
PARACM	myc.NEG.17	myc
PANRRW	myc.NEG.19	myc
PANLET	myc.NEG.3	myc
PANRVJ	myc.NEG.12	myc
PANSBN	myc.NEG.14	myc
PANUIF	myc.NEG.6	myc
PANWRR	myc.POS.10	myc
PAPBJE	myc.POS.4	myc
PAPCTS	myc.POS.16	myc
PAPKXS	myc.POS.1	myc
PAPTAN	myc.NEG.7	myc
PAPTCR	myc.NEG.16	myc
PAPUWY	myc.NEG.12	myc
PAPVFD	myc.NEG.14	myc
PAPVXS	myc.POS.5	myc
PAPZYZ	myc.POS.4	myc
PARACS	myc.NEG.9	myc
PARAMT	myc.POS.1	myc
PARBGP	myc.NEG.12	myc
PARDIW	myc.NEG.10	myc
PARFWB	myc.POS.2	myc
PARDCK	myc.NEG.16	myc
PARGKK	myc.NEG.16	myc
PARKGJ	myc.POS.11	myc
PARSBI	myc.NEG.1	myc
PAIFXV	myc.NEG.15	myc
PARVLK	myc.NEG.5	myc
PARYNK	myc.NEG.5	myc
PARZIP	myc.NEG.8	myc
PASEGA	myc.POS.7	myc
PASFGG	myc.POS.11	myc
PASGUT	myc.NEG.10	myc
PASMJG	myc.POS.5	myc
PASMNT	myc.POS.10	myc
PASNZU	myc.POS.16	myc
PASPER	myc.NEG.6	myc
PASRFS	myc.NEG.10	myc
PASSRS	myc.NEG.8	myc
PASTCN	myc.NEG.12	myc
PASTKC	myc.NEG.19	myc
PASUCB	myc.POS.15	myc
PASUYG	myc.POS.16	myc
PASVRU	myc.POS.18	myc
PASWFB	myc.POS.13	myc
PASWVY	myc.POS.2	myc
PASXGP	myc.POS.6	myc
PASZPI	myc.POS.13	myc
PATDWN	myc.POS.15	myc
PATDXG	myc.POS.19	myc
PATEKG	myc.NEG.15	myc
PATEPF	myc.POS.6	myc
PATESI	myc.POS.20	myc
PATFCY	myc.POS.3	myc
PATFXV	myc.POS.17	myc
PATHVK	myc.POS.9	myc
PATINJ	myc.POS.3	myc
PANXJL	myc.NEG.11	myc
PAPLSD	myc.NEG.4	myc
PAPTFZ	myc.POS.13	myc
PAPTLV	myc.NEG.5	myc
PAPVRN	myc.NEG.15	myc
PAKZRH	myc.POS.12	myc
PANZRV	myc.NEG.16	myc
PAPICY	myc.NEG.14	myc
PAPTDH	myc.NEG.15	myc
PARFRE	myc.NEG.8	myc
PARJVP	myc.NEG.11	myc
PARNNC	myc.NEG.15	myc
PARZHA	myc.ZERO	myc
PASCFC	myc.NEG.17	myc
PASCTR	myc.NEG.3	myc
PASJZC	myc.NEG.15	myc
PASMDM	myc.NEG.17	myc
PASNML	myc.NEG.13	myc
PASPBZ	myc.POS.2	myc
PASUML	myc.NEG.9	myc
PASZKE	myc.NEG.9	myc
PATAYJ	myc.NEG.13	myc
PATGJU	myc.NEG.20	myc
PATHKB	myc.NEG.5	myc
PASGAP	myc.NEG.12	myc
PASHFA	myc.POS.13	myc
PARBAJ	myc.NEG.9	myc
PARHAM	myc.NEG.13	myc
PASNPG	myc.NEG.6	myc
PASYPX	myc.POS.11	myc
PATYIL	myc.POS.13	myc
PAUDDK	myc.NEG.2	myc
PALNVP	myc.NEG.7	myc
PALXTB	myc.NEG.15	myc
PAMNLH	myc.POS.15	myc
PANNMS	myc.POS.7	myc
PAPEAV	myc.POS.14	myc
PAISNS	myc.POS.4	myc
PASNEF	myc.POS.9	myc
PASSRN	myc.POS.6	myc
PASWIJ	myc.NEG.16	myc
PATDXC	myc.POS.7	myc
PALBFW	dna_repair.NEG.11	dna_repair
PALWVJ	dna_repair.POS.9	dna_repair
PALETP	dna_repair.POS.9	dna_repair
PALIIN	dna_repair.POS.9	dna_repair
PALKUC	dna_repair.NEG.1	dna_repair
PALUYS	dna_repair.POS.5	dna_repair
PALVKK	dna_repair.NEG.11	dna_repair
PAMBMJ	dna_repair.NEG.6	dna_repair
PALZZV	dna_repair.POS.2	dna_repair
PAMEZH	dna_repair.NEG.5	dna_repair
PAMMXF	dna_repair.POS.1	dna_repair
PAMVRA	dna_repair.POS.12	dna_repair
PANBJH	dna_repair.POS.2	dna_repair
PAMZMG	dna_repair.POS.2	dna_repair
PANBSP	dna_repair.POS.7	dna_repair
PANUKV	dna_repair.POS.10	dna_repair
PANYGR	dna_repair.POS.12	dna_repair
PAPBGH	dna_repair.NEG.4	dna_repair
PAPKWN	dna_repair.NEG.2	dna_repair
PAIVHE	dna_repair.POS.1	dna_repair
PAITEG	dna_repair.NEG.8	dna_repair
